Master Builder Academy,[0303eccc-899f-4906-a312-3982b48bd44e]
      8396,[Soldier&#39;s Arsenal]
      8397,[Pirate Survival]
      6253,[Shipwreck Hideout]
      10210,[Imperial Flagship]
   Imperial Armada,[35861189-7d11-4af1-ac4b-49f3355c32c8]
      6232,[Skeleton Crew]
      6244,[Armada Sentry]
      6280,[Armada Flagship]
   Product Collection,[376552ca-6247-4385-bd9e-f488fcca2451]
      66309,[Bonus/Value Pack]
   Imperial Guards,[4daa2db6-fa99-4292-8dc2-16b7cccbc617]
      6245,[Harbour Sentry]
      6247,[Bounty Boat]
      6259,[Broadside&#39;s Brig]
      6263,[Imperial Outpost]
      6266,[Cannon Cove]
      6267,[Lagoon Lock-Up]
      6271,[Imperial Flagship]
      6277,[Imperial Trading Post]
      1795,[Imperial Cannon]
   Classic,[6c450cb6-4e9d-4d0f-928b-39466de85d94]
      5003082,[Classic Pirate Minifigure]
   Bonus/Value Pack,[7c6d4800-ac0a-4863-b811-9be566cf979e]
      1729,[Barnacle Bay Value Pack]
      6200,[Double Pack]
   Islanders,[8445c635-8d53-4d17-8687-8df2218eec04]
      6236,[King Kahuka]
      6246,[Crocodile Cage]
      6256,[Islander Catamaran]
      6262,[King Kahuka&#39;s Throne]
      6264,[Forbidden Cove]
      6278,[Enchanted Island]
      6292,[Enchanted Island]
   Seasonal,[91cdcf49-82f1-4afe-8d1a-a5fe692db3e0]
      6299,[Pirates Advent Calendar]
   Accessories,[a355aa62-8ada-4adf-9fd8-96817346e037]
      6204,[Buccaneers]
      6251,[Pirate Minifigures]
      6252,[Sea Mates]
      852747,[Pirates Battle Pack]
Architecture,[0e86a79b-54ba-4c31-95fc-c7691266beff]
   Skylines,[1e7c5106-c5b2-4e54-9b93-e304f96d901d]
      21026,[Venice]
      21027,[Berlin]
      21028,[New York City]
   Architect Series,[35263473-618e-4248-8454-2f80790a0c33]
      21017,[Imperial Hotel]
      21004,[Solomon Guggenheim Museum]
      21005,[Fallingwater]
      21007,[Rockefeller Center]
      21009,[Farnsworth House]
      21010,[Robie House]
      21012,[Sydney Opera House]
      21014,[Villa Savoye]
   ,[bcbb2f1c-2e69-47ab-b68a-43af49395db3]
      21050,[Architecture Studio]
      21024,[Louvre]
      21031,[Burj Khalifa]
      21029,[Buckingham Palace]
      21030,[United States Capitol Building]
   Landmark Series,[e2217f13-5f24-4576-b944-e353a0c3d0dd]
      21018,[United Nations Headquarters]
      21021,[Marina Bay Sands]
      21019,[The Eiffel Tower]
      21020,[Trevi Fountain]
      21023,[Flatiron Building, New York]
      21022,[Lincoln Memorial]
      21000,[Sears Tower]
      21001,[John Hancock Center]
      21002,[Empire State Building]
      21003,[Seattle Space Needle]
      21006,[The White House]
      21008,[Burj Khalifa]
      21000,[Willis Tower]
      21011,[Brandenburg Gate]
      21013,[Big Ben]
      21016,[Sungnyemun]
      21015,[The Leaning Tower of Pisa]
   Brickstructures,[e26c065b-887e-49ce-93ba-a06210f55b31]
      19710,[Sears Tower]
      19720,[John Hancock Center]
Indiana Jones,[0f42a712-e736-4b9a-ae24-d27b1ff62fd9]
   Temple of Doom,[376d99c3-6cf5-46d2-8683-f00351adb3ba]
      7682,[Shanghai Chase]
      7199,[The Temple of Doom]
   Raiders of the Lost Ark,[61f10958-a102-4e90-85da-a72912161ca3]
      7621,[Indiana Jones and the Lost Tomb]
      7622,[Race for the Stolen Treasure]
      7623,[Temple Escape]
      7683,[Fight on the Flying Wing]
      7195,[Ambush In Cairo]
   Kingdom of the Crystal Skull,[8728c7ec-2588-4991-9d70-e09b847fab19]
      7624,[Jungle Duel]
      7625,[River Chase]
      7626,[Jungle Cutter]
      7627,[Temple of the Crystal Skull]
      20004,[BrickMaster - Indiana Jones]
      7628,[Peril in Peru]
      7196,[Chauchilla Cemetery Battle]
      COMCON002,[BrickMaster (SDCC 2008 exclusive)]
   Last Crusade,[c00c3721-5335-47f8-bb63-b3adc2405fc6]
      7620,[Indiana Jones Motorcycle Chase]
      7197,[Venice Canal Chase]
      7198,[Fighter Plane Attack]
Ghostbusters,[0f552c6d-4faa-4433-a2f6-f790563224c5]
   ,[be2d4a4d-1b8c-4644-a3dd-962def1c5420]
      75827,[Firehouse Headquarters ]
      75828,[Ecto-1 &amp; Ecto-2]
Action Wheelers,[0f7fa6f2-397c-48a4-95e2-1987dca450ae]
   ,[2dedf66a-d818-4a01-bbfe-e27f7f6867e2]
      2904,[Motorbike]
      2909,[Helicopter]
      2912,[Radical Racer]
      2913,[Construction]
      2914,[Rescue Base]
      2916,[MyBot]
      2946,[MyBot Expansion Kit]
      2947,[Speedbike]
      2949,[Remote Control Dozer]
Mixels,[129a8f98-f732-4d62-a089-c93497dbd35a]
   Series 7,[24ea0c44-7e89-4679-b723-22164b9b3f45]
      41560,[Jamzy]
      41554,[Kuffs]
      41557,[Camillot]
      41555,[Busto]
      41556,[Tiketz]
      41558,[Mixadel]
      41559,[Paladum]
      41561,[Tapsy]
      41562,[Trumpsy]
      6139025,[LEGO Mixels - Series 7 - Display Box]
   Series 5,[2a3dff6a-4a72-43ef-a885-8ae720fed6e9]
      41536,[Gox]
      41537,[Jinky]
      41538,[Kamzo]
      41539,[Krog]
      41540,[Chilbo]
      41541,[Snoof]
      41542,[Spugg]
      41543,[Turg]
      41544,[Tungster]
      6102139,[LEGO Mixels - Series 5 - Display Box ]
   Series 1,[2eaabb8a-2c59-4fb6-ba17-5f590c2c5550]
      41500,[Flain]
      41504,[Seismo]
      41508,[Volectro]
      41501,[Vulk]
      41502,[Zorch]
      41503,[Krader]
      41505,[Shuff]
      41506,[Teslo]
      41507,[Zaptor]
      6064672,[LEGO Mixels - Series 1 - Display Box]
   Series 2,[5b00dc5c-0460-4599-97a3-f0b5dd330296]
      41509,[Slumbo]
      41510,[Lunk]
      41511,[Flurr]
      41512,[Chomly]
      41513,[Gobba]
      41514,[Jawg]
      41515,[Kraw]
      41516,[Tentro]
      41517,[Balk]
      6064917,[LEGO Mixels - Series 2 - Display Box]
   Series 9,[602713d6-c5f9-4cec-bc70-9110a0ac85b8]
      41572,[Gobbol]
      41573,[Sweepz]
      41574,[Compax]
      41575,[Cobrax]
      41576,[Spinza]
      41577,[Mysto]
      41578,[Screeno]
      41579,[Camsta]
      41580,[Myke]
      MIXELBOX,[LEGO Mixels - Series 9 - Display Box]
   Series 4,[7d9ca357-2eab-4254-be19-7ad5cc348051]
      41527,[Rokit]
      41528,[Niksput]
      41529,[Nurp-Naut]
      41530,[Meltus]
      41531,[Flamzer]
      41532,[Burnard]
      41533,[Globert]
      41534,[Vampos]
      41535,[Boogly]
      6102131,[LEGO Mixels - Series 4 - Display Box]
   Series 3,[a5b43557-a848-45f7-8ecb-39e7bf7b26bd]
      41518,[Glomp]
      41519,[Glurt]
      41520,[Torts]
      41521,[Footi]
      41522,[Scorpi]
      41523,[Hoogi]
      41524,[Mesmo]
      41525,[Magnifo]
      41526,[Wizwuz]
      6065102,[LEGO Mixels - Series 3 - Display Box]
   Series 8,[d284eec3-af6e-4921-b93a-3bbf9a3fe737]
      41563,[Splasho]
      41564,[Aquad]
      41565,[Hydro]
      41566,[Sharx]
      41567,[Skulzy]
      41568,[Lewt]
      41569,[Surgeo]
      41570,[Skrubz]
      41571,[Tuth]
      MIXELBOX,[LEGO Mixels - Series 8 - Display Box]
   Series 6,[ec3dc65d-137c-4d27-b93b-18fb4daf3e21]
      41545,[Kramm]
      41546,[Forx]
      41547,[Wuzzo]
      41548,[Dribbal]
      41549,[Gurggle]
      41550,[Slusho]
      41551,[Snax]
      41552,[Berp]
      41553,[Vaka-Waka]
      6102148,[LEGO Mixels - Series 6 - Display Box]
World City,[140653e7-fd4b-40a5-9d80-db4805960bdb]
   Police and Rescue,[0a75c21a-72b1-429e-867d-c9f5c45e31d0]
      7030,[Squad Car]
      7031,[Helicopter]
      7032,[Police 4WD and Undercover Van]
      7033,[Armoured Car Action]
      7034,[Surveillance Truck]
      7035,[Police HQ]
      7042,[Dune Patrol]
      7043,[Firefighter]
      7044,[Rescue Chopper]
      7045,[Hovercraft Hideout]
      7046,[Fire Command Craft]
      7047,[Coast Watch HQ]
   Trains,[8515a2bc-98d7-441e-a286-5c7d9969fe3a]
      10157,[High Speed Train Locomotive]
      10158,[High Speed Train Car]
      3383,[Chef]
      3384,[Construction Worker]
      3385,[Train Conductor]
      4511,[High Speed Train]
      4512,[Cargo Train]
      4513,[Grand Central Station]
      4514,[Cargo Crane]
      10027,[Train Engine Shed]
      10128,[Train Level Crossing]
   Special,[873d4b75-f915-4a6c-bf87-9f90856bf024]
      4032,[Holiday Jet (LEGO Air Version)]
      7214,[Airline Promotional Set]
      4032,[Holiday Jet (SAS Version)]
      4032,[Holiday Jet (EL AL Version)]
      4032,[Holiday Jet (Iberia Version)]
      4032,[Holiday Jet (JAL Version)]
      4032,[Holiday Jet (Lauda Air Version)]
      4032,[Holiday Jet (ANA Version)]
      4032,[Holiday Jet (SWISS Version)]
      4032,[Holiday Jet (Snowflake Version)]
      4032,[Holiday Jet (Austrian Air Version)]
      4032,[Holiday Jet (KLM Version)]
      4032,[Holiday Jet (Malaysian Air Version)]
      4032,[Holiday Jet (Aeroflot Version)]
   Product Collection,[fa9f8e5c-e9a3-4acb-9897-a52918e5de37]
      65801,[Trains Value Pack]
